     10  12  17  18  21  Resto
0     0   0   0   0   5      5
1     0   0   0   1   4      8
2     0   0   0   6   0      2
3     0   0   1   0   4      9
4     0   0   1   4   1      0
5     0   0   1   5   0      3
6     0   0   2   3   1      1
7     0   0   2   4   0      4
8     0   0   3   2   1      2
9     0   0   3   3   0      5
10    0   0   4   0   2      0
11    0   0   4   1   1      3
12    0   0   4   2   0      6
13    0   0   5   0   1      4
14    0   0   5   1   0      7
15    0   0   6   0   0      8
16    0   1   0   3   2      2
17    0   1   0   4   1      5
18    0   1   0   5   0      8
19    0   1   1   1   3      0
20    0   1   1   2   2      3
21    0   1   1   3   1      6
22    0   1   1   4   0      9
23    0   1   2   0   3      1
24    0   1   2   1   2      4
25    0   1   2   2   1      7
26    0   1   3   0   2      5
27    0   1   3   1   1      8
28    0   1   4   0   1      9
29    0   2   0   0   4      2
30    0   2   0   1   3      5
31    0   2   0   2   2      8
32    0   2   1   0   3      6
33    0   2   1   1   2      9
34    0   2   4   1   0      0
35    0   2   5   0   0      1
36    0   3   0   4   0      2
37    0   3   1   2   1      0
38    0   3   1   3   0      3
39    0   3   2   1   1      1
40    0   3   2   2   0      4
41    0   3   3   0   1      2
42    0   3   3   1   0      5
43    0   3   4   0   0      6
44    0   4   0   1   2      2
45    0   4   0   2   1      5
46    0   4   0   3   0      8
47    0   4   1   0   2      3
48    0   4   1   1   1      6
49    0   4   1   2   0      9
50    0   4   2   0   1      7
51    0   5   0   0   2      8
52    0   6   0   2   0      2
53    0   6   1   0   1      0
54    0   6   1   1   0      3
55    0   6   2   0   0      4
56    0   7   0   0   1      5
57    0   7   0   1   0      8
58    0   7   1   0   0      9
59    0   9   0   0   0      2
60    1   0   0   2   3      1
61    1   0   0   3   2      4
62    1   0   0   4   1      7
63    1   0   1   1   3      2
64    1   0   1   2   2      5
65    1   0   1   3   1      8
66    1   0   2   0   3      3
67    1   0   2   1   2      6
68    1   0   2   2   1      9
69    1   0   3   0   2      7
70    1   1   0   0   4      4
71    1   1   0   1   3      7
72    1   1   1   0   3      8
73    1   1   2   3   0      0
74    1   1   3   2   0      1
75    1   1   4   1   0      2
76    1   1   5   0   0      3
77    1   2   0   3   1      1
78    1   2   0   4   0      4
79    1   2   1   2   1      2
